Category,Level,Iteration,Configuration,Good Proposals,Bad Proposals,Max Attempts
1_ball,00001,04,higher_elasticity,5,5,21
1_ball,00001,04,lower_space_iterations,5,5,104
1_ball,00001,04,lower_time_scale,5,5,43
1_ball,00001,04,lower_friction,5,5,53
1_ball,00001,04,higher_friction,5,5,18
1_ball,00001,04,lower_gravity,5,5,70
1_ball,00001,04,higher_space_iterations,5,5,34
1_ball,00001,04,lower_elasticity,5,5,51
1_ball,00001,04,default,5,5,37
1_ball,00002,00,lower_density,5,5,31
1_ball,00002,00,higher_gravity,5,5,29
1_ball,00002,00,higher_density,5,5,20
1_ball,00002,00,higher_time_scale,5,5,38
1_ball,00002,00,higher_elasticity,5,5,48
1_ball,00002,00,lower_space_iterations,5,5,40
1_ball,00002,00,lower_time_scale,5,5,19
1_ball,00002,00,lower_friction,5,5,47
1_ball,00002,00,higher_friction,5,5,23
1_ball,00002,00,lower_gravity,5,5,37
1_ball,00002,00,higher_space_iterations,5,5,44
1_ball,00002,00,lower_elasticity,5,5,63
1_ball,00002,00,default,5,5,64
1_ball,00002,01,lower_density,5,5,88
1_ball,00002,01,higher_gravity,5,5,38
1_ball,00002,01,higher_density,5,5,52
1_ball,00002,01,higher_time_scale,5,5,39
1_ball,00002,01,higher_elasticity,5,5,76
1_ball,00002,01,lower_space_iterations,5,5,98
1_ball,00002,01,lower_time_scale,5,5,57
1_ball,00002,01,lower_friction,5,5,72
1_ball,00002,01,higher_friction,5,5,15
1_ball,00002,01,lower_gravity,5,5,108
1_ball,00002,01,higher_space_iterations,5,5,27
1_ball,00002,01,lower_elasticity,5,5,57
1_ball,00002,01,default,5,5,77
1_ball,00002,02,lower_density,5,5,225
1_ball,00002,02,higher_gravity,5,5,128
1_ball,00002,02,higher_density,5,5,364
1_ball,00002,02,higher_time_scale,5,5,325
1_ball,00002,02,higher_elasticity,5,5,183
1_ball,00002,02,lower_space_iterations,5,5,190
1_ball,00002,02,lower_time_scale,5,5,121
1_ball,00002,02,lower_friction,5,5,106
1_ball,00002,02,higher_friction,5,5,121
1_ball,00002,02,lower_gravity,5,5,475
1_ball,00002,02,higher_space_iterations,5,5,380
1_ball,00002,02,lower_elasticity,5,5,132
1_ball,00002,02,default,5,5,211
1_ball,00002,03,lower_density,5,5,58
1_ball,00002,03,higher_gravity,5,5,73
1_ball,00002,03,higher_density,5,5,56
1_ball,00002,03,higher_time_scale,5,5,22
1_ball,00002,03,higher_elasticity,5,5,35
1_ball,00002,03,lower_space_iterations,5,5,37
1_ball,00002,03,lower_time_scale,5,5,48
1_ball,00002,03,lower_friction,5,5,74
1_ball,00002,03,higher_friction,5,5,43
1_ball,00002,03,lower_gravity,5,5,61
1_ball,00002,03,higher_space_iterations,5,5,35
1_ball,00002,03,lower_elasticity,5,5,94
1_ball,00002,03,default,5,5,54
1_ball,00002,04,lower_density,5,5,72
1_ball,00002,04,higher_gravity,5,5,389
1_ball,00002,04,higher_density,5,5,215
1_ball,00002,04,higher_time_scale,5,5,82
1_ball,00002,04,higher_elasticity,5,5,110
1_ball,00002,04,lower_space_iterations,5,5,217
1_ball,00002,04,lower_time_scale,5,5,113
1_ball,00002,04,lower_friction,5,5,203
1_ball,00002,04,higher_friction,5,5,131
1_ball,00002,04,lower_gravity,5,5,444
1_ball,00002,04,higher_space_iterations,5,5,199
1_ball,00002,04,lower_elasticity,5,5,340
1_ball,00002,04,default,5,5,223
1_ball,00003,00,lower_density,5,5,2184
1_ball,00003,00,higher_gravity,5,5,704
1_ball,00003,00,higher_density,5,5,1546
1_ball,00003,00,higher_time_scale,5,5,1352
1_ball,00003,00,higher_elasticity,5,5,404
1_ball,00003,00,lower_space_iterations,5,5,2599
1_ball,00003,00,lower_time_scale,5,5,1789
1_ball,00003,00,lower_friction,5,5,1874
1_ball,00003,00,higher_friction,5,5,2047
1_ball,00003,00,lower_gravity,5,5,1572
1_ball,00003,00,higher_space_iterations,5,5,2070
1_ball,00003,00,lower_elasticity,5,5,415
1_ball,00003,00,default,5,5,3314
1_ball,00003,01,lower_density,5,5,385
1_ball,00003,01,higher_gravity,5,5,933
1_ball,00003,01,higher_density,5,5,887
1_ball,00003,01,higher_time_scale,5,5,576
1_ball,00003,01,higher_elasticity,5,5,161
1_ball,00003,01,lower_space_iterations,5,5,1186
1_ball,00003,01,lower_time_scale,5,5,844
1_ball,00003,01,lower_friction,5,5,256
1_ball,00003,01,higher_friction,5,5,117
1_ball,00003,01,lower_gravity,5,5,177
1_ball,00003,01,higher_space_iterations,5,5,1245
1_ball,00003,01,lower_elasticity,5,5,653
1_ball,00003,01,default,5,5,772
1_ball,00003,02,lower_density,5,5,226
1_ball,00003,02,higher_gravity,5,5,77
1_ball,00003,02,higher_density,5,5,150
1_ball,00003,02,higher_time_scale,5,5,120
1_ball,00003,02,higher_elasticity,5,5,106
1_ball,00003,02,lower_space_iterations,5,5,185
1_ball,00003,02,lower_time_scale,5,5,88
1_ball,00003,02,lower_friction,5,5,110
1_ball,00003,02,higher_friction,5,5,108
1_ball,00003,02,lower_gravity,5,5,183
1_ball,00003,02,higher_space_iterations,5,5,53
1_ball,00003,02,lower_elasticity,5,5,244
1_ball,00003,02,default,5,5,116
1_ball,00003,03,lower_density,5,5,615
1_ball,00003,03,higher_gravity,5,5,482
1_ball,00003,03,higher_density,5,5,461
1_ball,00003,03,higher_time_scale,5,5,342
1_ball,00003,03,higher_elasticity,5,5,426
1_ball,00003,03,lower_space_iterations,5,5,615
1_ball,00003,03,lower_time_scale,5,5,202
1_ball,00003,03,lower_friction,5,5,881
1_ball,00003,03,higher_friction,5,5,103
1_ball,00003,03,lower_gravity,5,5,378
1_ball,00003,03,higher_space_iterations,5,5,531
1_ball,00003,03,lower_elasticity,5,5,176
1_ball,00003,03,default,5,5,613
1_ball,00003,04,lower_density,5,5,1729
1_ball,00003,04,higher_gravity,5,5,946
1_ball,00003,04,higher_density,5,5,452
1_ball,00003,04,higher_time_scale,5,5,1667
1_ball,00003,04,higher_elasticity,5,5,348
1_ball,00003,04,lower_space_iterations,5,5,1518
1_ball,00003,04,lower_time_scale,5,5,1279
1_ball,00003,04,lower_friction,5,5,1087
1_ball,00003,04,higher_friction,5,5,67
1_ball,00003,04,lower_gravity,5,5,527
1_ball,00003,04,higher_space_iterations,5,5,471
1_ball,00003,04,lower_elasticity,5,5,497
1_ball,00003,04,default,5,5,647
1_ball,00004,00,lower_density,5,5,25
1_ball,00004,00,higher_gravity,5,5,34
1_ball,00004,00,higher_density,5,5,53
1_ball,00004,00,higher_time_scale,5,5,29
1_ball,00004,00,higher_elasticity,5,5,24
1_ball,00004,00,lower_space_iterations,5,5,48
1_ball,00004,00,lower_time_scale,5,5,41
1_ball,00004,00,lower_friction,5,5,46
1_ball,00004,00,higher_friction,5,5,53
1_ball,00004,00,lower_gravity,5,5,13
1_ball,00004,00,higher_space_iterations,5,5,68
1_ball,00004,00,lower_elasticity,5,5,15
1_ball,00004,00,default,5,5,84
1_ball,00004,01,lower_density,5,5,46
1_ball,00004,01,higher_gravity,5,5,22
1_ball,00004,01,higher_density,5,5,47
1_ball,00004,01,higher_time_scale,5,5,21
1_ball,00004,01,higher_elasticity,5,5,19
1_ball,00004,01,lower_space_iterations,5,5,48
1_ball,00004,01,lower_time_scale,5,5,48
1_ball,00004,01,lower_friction,5,5,11
1_ball,00004,01,higher_friction,5,5,29
1_ball,00004,01,lower_gravity,5,5,28
1_ball,00004,01,higher_space_iterations,5,5,16
1_ball,00004,01,lower_elasticity,5,5,27
1_ball,00004,01,default,5,5,31
1_ball,00004,02,lower_density,5,5,64
1_ball,00004,02,higher_gravity,5,5,87
1_ball,00004,02,higher_density,5,5,78
1_ball,00004,02,higher_time_scale,5,5,83
1_ball,00004,02,higher_elasticity,5,5,73
1_ball,00004,02,lower_space_iterations,5,5,68
1_ball,00004,02,lower_time_scale,5,5,65
1_ball,00004,02,lower_friction,5,5,19
1_ball,00004,02,higher_friction,5,5,219
1_ball,00004,02,lower_gravity,5,5,49
1_ball,00004,02,higher_space_iterations,5,5,45
1_ball,00004,02,lower_elasticity,5,5,69
1_ball,00004,02,default,5,5,34
1_ball,00004,03,lower_density,5,5,279
1_ball,00004,03,higher_gravity,5,5,498
1_ball,00004,03,higher_density,5,5,304
1_ball,00004,03,higher_time_scale,5,5,198
1_ball,00004,03,higher_elasticity,5,5,250
1_ball,00004,03,lower_space_iterations,5,5,120
1_ball,00004,03,lower_time_scale,5,5,157
1_ball,00004,03,lower_friction,5,5,14
1_ball,00004,03,higher_friction,5,5,459
1_ball,00004,03,lower_gravity,5,5,118
1_ball,00004,03,higher_space_iterations,5,5,89
1_ball,00004,03,lower_elasticity,5,5,278
1_ball,00004,03,default,5,5,228
1_ball,00004,04,lower_density,5,5,95
1_ball,00004,04,higher_gravity,5,5,450
1_ball,00004,04,higher_density,5,5,70
1_ball,00004,04,higher_time_scale,5,5,62
1_ball,00004,04,higher_elasticity,5,5,242
1_ball,00004,04,lower_space_iterations,5,5,59
1_ball,00004,04,lower_time_scale,5,5,272
1_ball,00004,04,lower_friction,5,5,82
1_ball,00004,04,higher_friction,5,5,234
1_ball,00004,04,lower_gravity,5,5,208
1_ball,00004,04,higher_space_iterations,5,5,91
1_ball,00004,04,lower_elasticity,5,5,99
1_ball,00004,04,default,5,5,60
1_ball,00005,00,lower_density,5,5,2015
1_ball,00005,00,higher_gravity,5,5,500
1_ball,00005,00,higher_density,5,5,1099
1_ball,00005,00,higher_time_scale,5,5,1113
1_ball,00005,00,higher_elasticity,5,5,1714
1_ball,00005,00,lower_space_iterations,5,5,384
1_ball,00005,00,lower_time_scale,5,5,1115
1_ball,00005,00,lower_friction,5,5,499
1_ball,00005,00,higher_friction,5,5,2761
1_ball,00005,00,lower_gravity,5,5,695
1_ball,00005,00,higher_space_iterations,5,5,649
1_ball,00005,00,lower_elasticity,5,5,1434
1_ball,00005,00,default,5,5,1940
1_ball,00005,01,lower_density,5,5,205
1_ball,00005,01,higher_gravity,5,5,212
1_ball,00005,01,higher_density,5,5,79
1_ball,00005,01,higher_time_scale,5,5,124
1_ball,00005,01,higher_elasticity,5,5,30
1_ball,00005,01,lower_space_iterations,5,5,153
1_ball,00005,01,lower_time_scale,5,5,135
1_ball,00005,01,lower_friction,5,5,189
1_ball,00005,01,higher_friction,5,5,274
1_ball,00005,01,lower_gravity,5,5,165
1_ball,00005,01,higher_space_iterations,5,5,218
1_ball,00005,01,lower_elasticity,5,5,140
1_ball,00005,01,default,5,5,164
1_ball,00005,02,lower_density,5,5,35
1_ball,00005,02,higher_gravity,5,5,52
1_ball,00005,02,higher_density,5,5,41
1_ball,00005,02,higher_time_scale,5,5,108
1_ball,00005,02,higher_elasticity,5,5,91
1_ball,00005,02,lower_space_iterations,5,5,92
1_ball,00005,02,lower_time_scale,5,5,82
1_ball,00005,02,lower_friction,5,5,70
1_ball,00005,02,higher_friction,5,5,75
1_ball,00005,02,lower_gravity,5,5,132
1_ball,00005,02,higher_space_iterations,5,5,67
1_ball,00005,02,lower_elasticity,5,5,33
1_ball,00005,02,default,5,5,90
1_ball,00005,03,lower_density,5,5,2490
1_ball,00005,03,higher_gravity,5,5,790
1_ball,00005,03,higher_density,5,5,1116
1_ball,00005,03,higher_time_scale,5,5,1578
1_ball,00005,03,higher_elasticity,5,5,589
1_ball,00005,03,lower_space_iterations,5,5,820
1_ball,00005,03,lower_time_scale,5,5,1423
1_ball,00005,03,lower_friction,5,5,658
1_ball,00005,03,higher_friction,5,5,1976
1_ball,00005,03,lower_gravity,5,5,1995
1_ball,00005,03,higher_space_iterations,5,5,514
1_ball,00005,03,lower_elasticity,5,5,1679
1_ball,00005,03,default,5,5,1340
1_ball,00005,04,lower_density,5,5,2658
1_ball,00005,04,higher_gravity,5,5,3408
1_ball,00005,04,higher_density,5,5,1716
1_ball,00005,04,higher_time_scale,5,5,1464
1_ball,00005,04,higher_elasticity,5,5,2538
1_ball,00005,04,lower_space_iterations,5,5,2136
1_ball,00005,04,lower_time_scale,5,5,2482
1_ball,00005,04,lower_friction,5,5,1342
1_ball,00005,04,higher_friction,5,5,981
1_ball,00005,04,lower_gravity,5,5,4739
1_ball,00005,04,higher_space_iterations,5,5,3789
1_ball,00005,04,lower_elasticity,5,5,4331
1_ball,00005,04,default,5,5,1602
1_ball,00006,00,lower_density,5,5,26
1_ball,00006,00,higher_gravity,5,5,28
1_ball,00006,00,higher_density,5,5,32
1_ball,00006,00,higher_time_scale,5,5,50
1_ball,00006,00,higher_elasticity,5,5,22
1_ball,00006,00,lower_space_iterations,5,5,41
1_ball,00006,00,lower_time_scale,5,5,16
1_ball,00006,00,lower_friction,5,5,20
1_ball,00006,00,higher_friction,5,5,18
1_ball,00006,00,lower_gravity,5,5,53
1_ball,00006,00,higher_space_iterations,5,5,54
1_ball,00006,00,lower_elasticity,5,5,33
1_ball,00006,00,default,5,5,17
1_ball,00006,01,lower_density,5,5,130
1_ball,00006,01,higher_gravity,5,5,164
1_ball,00006,01,higher_density,5,5,183
1_ball,00006,01,higher_time_scale,5,5,94
1_ball,00006,01,higher_elasticity,5,5,47
1_ball,00006,01,lower_space_iterations,5,5,83
1_ball,00006,01,lower_time_scale,5,5,32
1_ball,00006,01,lower_friction,5,5,74
1_ball,00006,01,higher_friction,5,5,138
1_ball,00006,01,lower_gravity,5,5,96
1_ball,00006,01,higher_space_iterations,5,5,192
1_ball,00006,01,lower_elasticity,5,5,118
1_ball,00006,01,default,5,5,52
1_ball,00006,02,lower_density,5,5,13
1_ball,00006,02,higher_gravity,5,5,34
1_ball,00006,02,higher_density,5,5,80
1_ball,00006,02,higher_time_scale,5,5,88
1_ball,00006,02,higher_elasticity,5,5,74
1_ball,00006,02,lower_space_iterations,5,5,55
1_ball,00006,02,lower_time_scale,5,5,42
1_ball,00006,02,lower_friction,5,5,49
1_ball,00006,02,higher_friction,5,5,84
1_ball,00006,02,lower_gravity,5,5,45
